Name,URL,Author,Price,Number of Ratings,Average Rating
"
            Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo
        ",https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1,Jill Twist,$18.99,595,5.0 out of 5 stars
"
            A Higher Loyalty: Truth, Lies, and Leadership
        ",https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1,James Comey,$20.48,Not Available,Not Available
"
            Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump
        ",https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1,Michael Isikoff,$18.00,87,4.5 out of 5 stars
"
            12 Rules for Life: An Antidote to Chaos
        ",https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1,Jordan B. Peterson,$15.75,"1,423",4.8 out of 5 stars
"
            A Wrinkle in Time (Time Quintet)
        ",https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1,Madeleine L'Engle,$5.10,"2,920",4.5 out of 5 stars
"
            A Brief History of Time
        ",https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168?_encoding=UTF8&psc=1,Stephen Hawking,$11.04,"2,123",4.5 out of 5 stars
"
            Magnolia Table: A Collection of Recipes for Gathering
        ",https://www.amazon.com/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1,Joanna Gaines,$17.99,Not Available,Not Available
"
            Llama Llama Easter Egg
        ",https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1,Anna Dewdney,$5.32,213,4.5 out of 5 stars
"
            Peppa's Easter Egg Hunt (Peppa Pig)
        ",https://www.amazon.com/Peppas-Easter-Egg-Hunt-Peppa/dp/0545881307?_encoding=UTF8&psc=1,Scholastic,$3.14,177,4.8 out of 5 stars
"
            Ready Player One: A Novel
        ",https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1,Ernest Cline,$8.79,"16,203",4.6 out of 5 stars
"
            Happy Easter, Mouse! (If You Give...)
        ",https://www.amazon.com/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1,Laura Numeroff,$5.63,280,4.5 out of 5 stars
"
            Food: What the Heck Should I Eat?
        ",https://www.amazon.com/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1,Mark Hyman M.D.,$16.80,158,4.6 out of 5 stars
"
            The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included
        ",https://www.amazon.com/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1,Don't Laugh Joke,$6.90,10,5.0 out of 5 stars
"
            The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
        ",https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1,Mark Manson,$14.99,"3,216",4.4 out of 5 stars
"
            Marlon Bundo's Day in the Life of the Vice President
        ",https://www.amazon.com/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1,Charlotte Pence,$13.28,23,1.0 out of 5 stars
"
            Easter Eggstravaganza Mad Libs
        ",https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1,Roger Price,$4.47,133,4.6 out of 5 stars
"
            Little Fires Everywhere
        ",https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1,Celeste Ng,$15.28,"1,967",4.4 out of 5 stars
"
            The 5 Love Languages: The Secret to Love that Lasts
        ",https://www.amazon.com/Love-Languages-Secret-that-Lasts/dp/080241270X?_encoding=UTF8&psc=1,Gary Chapman,$9.59,"12,659",4.8 out of 5 stars
"
            I've Loved You Since Forever
        ",https://www.amazon.com/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1,Hoda Kotb,$12.52,41,4.5 out of 5 stars
"
            Children of Blood and Bone (Legacy of Orisha)
        ",https://www.amazon.com/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1,Tomi Adeyemi,$11.39,128,4.8 out of 5 stars
"
            What Can I Bring?: Southern Food for Any Occasion Life Serves Up
        ",https://www.amazon.com/What-Can-Bring-Southern-Occasion/dp/0848754387?_encoding=UTF8&psc=1,Elizabeth Heiskell,$19.49,86,4.3 out of 5 stars
"
            Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4)
        ",https://www.amazon.com/Dog-Man-Cat-Kid-Underpants/dp/0545935180?_encoding=UTF8&psc=1,Dav Pilkey,$6.79,316,4.9 out of 5 stars
"
            You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life
        ",https://www.amazon.com/You-Are-Badass-Doubting-Greatness/dp/0762447699?_encoding=UTF8&psc=1,Jen Sincero,$9.60,"3,337",4.6 out of 5 stars
"
            Goodnight Moon
        ",https://www.amazon.com/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1,Margaret Wise Brown,$5.93,"3,176",4.7 out of 5 stars
"
            Giraffes Can't Dance
        ",https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551?_encoding=UTF8&psc=1,Giles Andreae,$5.06,"3,803",4.7 out of 5 stars
"
            First 100 Words
        ",https://www.amazon.com/First-100-Words-Roger-Priddy/dp/0312510780?_encoding=UTF8&psc=1,Roger Priddy,$4.57,"7,794",4.6 out of 5 stars
"
            Simon vs. the Homo Sapiens Agenda
        ",https://www.amazon.com/Simon-vs-Homo-Sapiens-Agenda/dp/006234868X?_encoding=UTF8&psc=1,Becky Albertalli,$6.69,743,4.7 out of 5 stars
"
            Milk and Honey
        ",https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1,Rupi Kaur,$8.99,"5,326",4.6 out of 5 stars
"
            Pinkalicious: Eggstraordinary Easter
        ",https://www.amazon.com/Pinkalicious-Eggstraordinary-Easter-Victoria-Kann/dp/0062187724?_encoding=UTF8&psc=1,Victoria Kann,$4.74,92,4.7 out of 5 stars
"
            The Very Hungry Caterpillar
        ",https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1,Eric Carle,$6.61,"3,409",4.6 out of 5 stars
"
            I've Been Thinking . . .: Reflections, Prayers, and Meditations for a Meaningful Life
        ",https://www.amazon.com/Ive-Been-Thinking-Reflections-Meditations/dp/0525522603?_encoding=UTF8&psc=1,Maria Shriver,$12.00,134,4.9 out of 5 stars
"
            The Wonderful Things You Will Be
        ",https://www.amazon.com/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1,Emily Winfield Martin,$11.81,"1,437",4.8 out of 5 stars
"
            The Whole30: The 30-Day Guide to Total Health and Food Freedom
        ",https://www.amazon.com/Whole30-30-Day-Guide-Health-Freedom/dp/0544609719?_encoding=UTF8&psc=1,Melissa Hartwig,$18.00,"3,186",4.6 out of 5 stars
