Name,URL,Author,Price,Number of Ratings,Average Rating
"
            A Brief History of Time: From Big Bang to Black Holes
        ",https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211?_encoding=UTF8&psc=1,Stephen Hawking,Rs.    255.00,514,4.5 out of 5 stars
"
            The Power of your Subconscious Mind
        ",https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1,Joseph Murphy,Rs.    98.00,"2,869",4.5 out of 5 stars
"
            India 2018
        ",https://www.amazon.in/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1,Publication Division,Rs.    230.00,32,3.2 out of 5 stars
"
            Think and Grow Rich
        ",https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1,Napoleon Hill,Rs.    75.00,"2,399",4.5 out of 5 stars
"
            The Subtle Art of Not Giving a F*ck
        ",https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1,Mark Manson,Rs.    299.00,240,4.3 out of 5 stars
"
            Indian Polity 5th Edition
        ",https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1,M. Laxmikanth,Rs.    383.00,"1,926",4.5 out of 5 stars
"
            Sapiens
        ",https://www.amazon.in/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1,Yuval Noah Harari,Rs.    279.00,884,4.6 out of 5 stars
"
            Railway Assistant Loco Pilot and Technician 2018
        ",https://www.amazon.in/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1,Arihant Experts,Rs.    160.00,51,3.9 out of 5 stars
"
            A Century is not Enough: My Roller-coaster Ride to Success
        ",https://www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1,Sourav Ganguly,Rs.    395.00,95,4.6 out of 5 stars
"
            Word Power Made Easy
        ",https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1,Norman Lewis,Rs.    133.00,"4,730",4.4 out of 5 stars
"
            RRB Group D Guide 2018
        ",https://www.amazon.in/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1,Arihant Experts,Rs.    176.00,31,4.1 out of 5 stars
"
            Will You Still Love Me?
        ",https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1,RAVINDER SINGH,Rs.    109.00,63,4.8 out of 5 stars
